id,gemini-flash_faiss_country,svm_1,text
00010.jsonl.gz-15945473,united states,1,3 Beds - Pacific Landing Apartments at 36125 Creighton Ave in Murrieta CA is a Apartment
00052.jsonl.gz-13608736,united states,1,2 Beds - Fontenelle Hills at 200 Martin Drive in Bellevue NE is a Apartment
00087.jsonl.gz-7639704,united states,1,2 Beds - Swiss Colony Apartments at 3075 Park Avenue in Merced CA is a Apartment
00039.jsonl.gz-18025634,united states,1,3 Beds - Twin Creeks at 11480 Se Sunnyside Rd in Clackamas OR is a Apartment
00002.jsonl.gz-1938122,united states,1,3 Beds - Marbella at 2500 Herndon Ave in Clovis CA is a Apartment
00066.jsonl.gz-8140507,united states,1,1 Bed - San Marco Villas at 2000 Villa Dr in Pittsburg CA is a Apartment
00093.jsonl.gz-15629215,united states,1,1 Bed - Highlands Point Apartments at 2311 Ivy Hill Way in San Ramon CA is a Apartment
00054.jsonl.gz-10007920,united states,1,1 Bed - Burkart Crossing Apartments at 1021 Stoneridge Dr in Seymour IN is a Apartment
00118.jsonl.gz-7112016,united states,1,2 Beds - The Brand at 120 W Wilson Avenue in Glendale CA is a Apartment
00114.jsonl.gz-17079254,united states,1,3 Beds - Bayberry Place at 711 Greenridge Parkway in Brownsburg IN is a Apartment
00068.jsonl.gz-5392059,united states,1,2 Beds - Wesley Hampstead at 2770 Skyview Dr in Lithia Springs GA is a Apartment
00091.jsonl.gz-7171826,united states,1,1 Bed - Springhouse Apartments at 8400 Tapestry Cir in Louisville KY is a Apartment
00096.jsonl.gz-666384,united states,1,2 Beds - Metropolis at 2100 Sullivan in Irvine CA is a Apartment
00117.jsonl.gz-17577341,united states,1,2 Beds - Heights at Harper's Preserve at 17116 Harpers Trace in Conroe TX is a Apartment
00039.jsonl.gz-1080471,united states,1,Apartment In Renton WA | Springbrook Apartments
00061.jsonl.gz-9468399,united states,1,2 Beds - Bethlehem Terrace Apartments at 47 Meadowbrook Dr in Slingerlands NY is a Apartment
00010.jsonl.gz-11212275,united states,1,"BJ's Nest~Tranquil Studio Apartment Retreat, w/Hot Tub.  Close To Downtown Napa."
00115.jsonl.gz-1560065,united states,1,"The Heatherstone Apartment complex in east Kennewick is undergoing a large remodel that will update all 455 units, thanks to a $19.8 million investment. New owners spent $41.6 million recently to buy the affordable housing complex that spans nearly 25 acres near Park Middle School. (Courtesy Security Properties Inc.)"
00125.jsonl.gz-13335318,united states,1,1 Bed - The Tides at Lakeshore East Apartments at 360 E South Water St in Chicago IL is a Apartment
