id,gemini-flash_faiss_country,svm_1,text
00012.jsonl.gz-16636552,barbados,1,barbados-wedding-photography-Turtle-Beach-Resort-th-24 (1).png
00039.jsonl.gz-17585909,barbados,1,1 12 Only Pool At Sea Breeze Beach House Barbados
00121.jsonl.gz-12437248,barbados,1,"Purple sky at the beach, Barbados"
00094.jsonl.gz-12234121,barbados,1,Aerial view of clear ocean waters along a tropical Beach featuring boats and Yachts in Barbados in the Caribbean
00020.jsonl.gz-6971904,barbados,1,"Enterprise Beach, Barbados, Caribbean. Outdoor, outdoors, outside, exterior, exteriors, america, central, greater, antilles, lesser, west, indies, island stock photography"
00086.jsonl.gz-1447985,barbados,1,View of the beach from the cliff. White beach on the island of Barbados royalty free stock photos
00092.jsonl.gz-5212210,barbados,1,Photograph - Bathsheba Beach by Tony Murtagh
00014.jsonl.gz-7810139,barbados,1,beach in Barbados
00076.jsonl.gz-13674984,barbados,1,"Sun shade on Accra Beach, Barbados Royalty Free Stock Photos"
00051.jsonl.gz-15544121,barbados,1,Cranes Beach Barbados by Marylee Pope
00014.jsonl.gz-15980745,barbados,1,Beautiful sunset over the sea with a view at palms on the white beach on a Caribbean island of Barbados
00120.jsonl.gz-16982478,barbados,1,Miami Beach is a fantastic spot on the south coast of Barbados. JIM BYERS PHOTO
00030.jsonl.gz-8810398,barbados,1,A sculpture called 'balancing stones' on Worthing Beach in 2012
00053.jsonl.gz-3947429,barbados,1,"Sufside Beach, Brunette Sun Tanning, BARBADOS, 40-60's"
00111.jsonl.gz-12519591,barbados,1,"View of palm tree fringed Worthing Beach, Barbados, West Indies, Caribbean, Central America"
00031.jsonl.gz-16404643,barbados,1,life photography by aniya_barbados_wedding photography_the beach house weddings49.png
00077.jsonl.gz-15154818,barbados,1,"""""""Wed on a Barbados beach, with romantic, sunset photos!  Shelley advices to """"""""find a good wedding planner & trust in their experience & choices. They know it's a really special day for you and really do make it so.  Everyone was fantastic, the Reverend was a 'darling', the Photographer was superb & his photos spectacular, the one-man steel band was just right, & the stretch limo an added bonus.""""""""  Thanks for the vote of confidence Shelley & Joe -Hertfordshire, England.   barbadosweddings.com"""""""
00111.jsonl.gz-5548868,barbados,1,sailing boat at the Turtle Beach by Elegant Hotels
