id,gemini-flash_faiss_country,svm_1,text
00021.jsonl.gz-16426864,vietnam,1,"Lakeview 2 bedroom apartment for rent on Nhat Chieu, Tay Ho 5"
00118.jsonl.gz-10429406,vietnam,1,Brandnew lakeview three bedroom service apartment in Xuan Dieu street Hanoi for rent 2
00089.jsonl.gz-14135054,vietnam,1,"Lake view, separate 01 bedroom apartment for rent in Tay Ho, Hanoi."
00057.jsonl.gz-4409054,vietnam,1,"Nice studio serviced apartment 01 bedroom for rent on Duy Tan street, Phu Nhuan District - 28sqm - 350 USD( 8 millions VND)"
00051.jsonl.gz-2608966,vietnam,1,Ciputra villa for rent in C5 block with 5 bedroom and modern furniture 10
00105.jsonl.gz-494858,vietnam,1,Six Senses Ninh Van Bay Vietnam presidential villa bedroom beach and rock view
00071.jsonl.gz-5980037,vietnam,1,Trung Hoa Nhan Chinh - apartment for rent with 3 bedroom and fully furnished
00094.jsonl.gz-12949748,vietnam,1,"Selling 3 bedroom apartment in L1 Ciputra Hanoi, nice view 8"
00090.jsonl.gz-6716750,vietnam,1,"Spacious 3 bedroom apartment for rent in Tay Ho, Hanoi"
00029.jsonl.gz-7911058,vietnam,1,"Two bedroom apartment for rent located in a service building in the center of Hoan Kiem district, Hanoi, Vietnam"
00109.jsonl.gz-15097428,vietnam,1,Cheap One Bedroom Apartment Rental In Nguyen Du Street Hai Ba Trung
00027.jsonl.gz-11353277,vietnam,1,"Modern 1 bedroom apartment with balcony in Vinhomes Metropolis, 27 Lieu Gia street 7"
00021.jsonl.gz-1002034,vietnam,1,"3 Bedroom Apartment (The Vista) for sale in Thao Dien Ward, District 2, Ho Chi Minh City."
00002.jsonl.gz-12110381,vietnam,1,2 bedroom apartment on nhat chieu 4
00049.jsonl.gz-5462557,vietnam,1,"02 bedroom apartment for rent in D'.Le Roi Soleil building, Xuan Dieu 3"
00032.jsonl.gz-12189333,vietnam,1,Two bedroom apartment for rent at D '. Le Roi Soleil Quang An
00017.jsonl.gz-13969404,vietnam,1,Serviced-apartment-on-Nguyen-Ngoc-Phuong-street-in-Binh-Thanh-district-ID-294-1-bedroom-part-6
00086.jsonl.gz-89428,vietnam,1,Lake-view 1 bedroom apartment in Sun Grand City for rent
00032.jsonl.gz-202979,vietnam,1,apartment for rent in hanoi cheap 2 bedroom apartment
00083.jsonl.gz-12732756,vietnam,1,Lakeside 03 bedroom apartment for rent in Quang An Street with wide balcony 1
00088.jsonl.gz-9101775,vietnam,1,3 bedroom apartment on high floor for rent in The Link L3 Ciputra Hanoi 12
00038.jsonl.gz-15570781,vietnam,1,"Nice studio serviced apartment 01 bedroom for rent on Duy Tan street, Phu Nhuan District - 28sqm - 350 USD( 8 millions VND)"
00039.jsonl.gz-12843288,vietnam,1,333 Brand new 3 bedroom apartment in Long Bien with small swimming pool
00008.jsonl.gz-7252283,vietnam,1,"A sunny, clean, bedroom & private bathroom for two guests to stay in the lively District 1, close to all the must-see attractions! Complete with a queen bed, private balcony, A/C and washing machine this is the perfect place to stay in HCMC!"
00114.jsonl.gz-7119324,vietnam,1,"Splendid 2 bedroom apartment for rent in D.leroisolei Xuan Dieu street, Tay Ho district 3"
00024.jsonl.gz-17274307,india,1,Bedroom Image of Girls PG in Andheri East
00098.jsonl.gz-10762081,india,1,Bedroom Image of Emy PG & Accommodation in Thiruvanmiyur
00105.jsonl.gz-174741,india,1,Bedroom Image of Oyo Life Grg1100 in DLF Phase 3
00074.jsonl.gz-699924,india,1,Bedroom Image of Kiran PG in Dwarka Mor
00079.jsonl.gz-11915629,india,1,Bedroom Image of Vijay Kapoor Hospitality PG in Kandivali West
00106.jsonl.gz-6065855,india,1,"Independent Bungalow, RR Nagar—Mr. Mohan: modern Bedroom by DECOR DREAMS"
00121.jsonl.gz-2498612,india,1,bedroom interior ideas indian bedroom themes interior design ideas for bedrooms
00122.jsonl.gz-7682590,india,1,Red Wallpaper For Bedroom Brick Red Colour Wall Mural Wallpaper Indian Interiors
00034.jsonl.gz-4568632,india,1,Astounding Traditional Indian Bedroom Designs 32 In Modern ...
00075.jsonl.gz-9379470,india,1,Bedroom Image of Oyo Life Blr1407 Sarjapur Road in Halanayakanahalli
00119.jsonl.gz-9431801,india,1,Bedroom Image of Ars Ladies Hostel in Vasundhara Enclave
