id,gemini-flash_faiss_country,svm_1,text
00107.jsonl.gz-13761574,united kingdom,1,"Mercedes Pagoda For Sale | Mercedes-Benz 280 SL Pagoda For Sale, classic cars for sale uk (Car ..."
00093.jsonl.gz-15964991,united kingdom,1,Round 8 of the 2018 British Touring Car Championship.  #20 James Cole. Team Shredded Wheat Racing with Gallagher. Ford Focus RS.
00080.jsonl.gz-12236732,united kingdom,1,"Kieran O'Kane / Matt Reid at Junction 6, on Special Stage 1 Craigvinean in the Colin McRae Forest Stages Rally 2012, Round 8 of the RAC MSA Scotish Rally Championship which was organised by Coltness Car Club and based in Aberfeldy on 5.10.12."
00071.jsonl.gz-9412782,united kingdom,1,"Dominic Cummings and damaged car<br /> London, England on June 26, 2020.<br /> CAP/GOL<br /> ©GOL/Capital Pictures"
00055.jsonl.gz-17743854,united kingdom,1,Car servicing and mot preparation at competitive prices. Full filter start at £30 plus parts
00051.jsonl.gz-14033432,united kingdom,1,"A Mini painted with a Union flag is seen at the car making plant in Oxford, western England July 9, 2012. REUTERS/Eddie Keogh"
00003.jsonl.gz-12744000,united kingdom,1,Victims car from the Stansted suicide by cop in 2007
00019.jsonl.gz-9563346,united kingdom,1,"A parked Smart car recharges electric power at an EDF charging point in central London. Its yellow coiled cable stretching from charging point to car. Source London is now the capital's largest charging network. It has significantly boosted existing numbers of charge points operated by a range of different localised schemes. By 2013, Source London will total at least 1,300 charge points, more than the number of petrol stations currently in London, ensuring the infrastructure is in place for significantly more people and businesses to buy an electric vehicle. The creation of an electric vehicle network is in line with the Mayor's pledge to promote quality of life by reducing pollution and CO2 emissions."
00115.jsonl.gz-17307188,united kingdom,1,"Volkswagen Beetle Convertible wedding car for hire in Newport, South Wales"
00022.jsonl.gz-16531748,united kingdom,1,USED 2013 62 RENAULT MEGANE 1.6 EXPRESSION PLUS 5d 110 BHP GUARANTEED TO BEAT ANY 'WE BUY ANY CAR' VALUATION ON YOUR PART EXCHANGE
