id,gemini-flash_faiss_country,svm_1,text
00077.jsonl.gz-1990730,croatia,1,Croatia Flag - Stock Photo
00063.jsonl.gz-6797708,croatia,1,Croatia Flag Personalized Postcard
00106.jsonl.gz-2873650,croatia,1,Croatia Flag Love My Country Handmade Necklace Stainless Steel or 18k Gold Dog T
00024.jsonl.gz-13976180,croatia,1,Croatia Flag Carry-all Pouch by Setsiri Silapasuwanchai
00127.jsonl.gz-11764649,croatia,1,Snickers Workwear 2502 T-Shirt EXCLUSIVE Croatia Flag Design
00034.jsonl.gz-13822321,croatia,1,2020-2021 Croatia Flag Concept Football Shirt (Vrsaljko 2)
00110.jsonl.gz-5127489,croatia,1,Croatia Football Flag Paint Splat Men's T-Shirt
00084.jsonl.gz-15054790,croatia,1,New abstract Croatia flag ribbon
00012.jsonl.gz-1208677,croatia,1,Croatia Flag
00002.jsonl.gz-6830306,croatia,1,"complete national flag of croatia covers whole frame, waved, crunched and very natural looking. In front plan are fundamental food ingredients for consumers, symbolizing consumerism - stock photo"
00078.jsonl.gz-13275747,croatia,1,Flag of Croatia
00003.jsonl.gz-10933250,croatia,1,Croatian Flag Fridge Magnet
00074.jsonl.gz-10796896,croatia,1,Welcome … The EU flag flying in Zagreb.
00093.jsonl.gz-15365690,croatia,1,European Union Flag & Croatia Map With Flag. EU Member. Hand Painted with Brush. Vector Illustration.
00056.jsonl.gz-4861113,croatia,1,Croatian Flag Star Personalized Announcements
00051.jsonl.gz-10810493,croatia,1,Croatia Flag iPhone 4/4S Covers
00057.jsonl.gz-10768166,croatia,1,Croatia Car Window Flag
00083.jsonl.gz-16852827,croatia,1,Worn Croatian Flag Shield and Swords with Roses Greeting Card
00012.jsonl.gz-9477479,croatia,1,Animated Flag of Croatia / Kroatien Stock Video Footage
00077.jsonl.gz-9821196,croatia,1,Flag of Croatia in the Europe | National states flags of the World countries
00051.jsonl.gz-7825629,croatia,1,Flag of Croatia seamless loop
00119.jsonl.gz-2849024,croatia,1,Croatia Flag Map Shirt
00103.jsonl.gz-16940045,croatia,1,Croatia Flag
00126.jsonl.gz-11025452,croatia,1,Croatian Flag in Map T Shirts
00083.jsonl.gz-9533028,croatia,1,Croatia flag dog collar
00079.jsonl.gz-1111755,united states,1,American Flag w/ Declaration of Independence Stock Footage
00109.jsonl.gz-8949570,united states,1,"DAY 282: George Washington Bridge with American Flag - for Columbus day - October 10, 2011.  This flag is renowned as the largest free flying American flag in the country and it is quite an awesome sight.  I've tried to get photos multiple times over the past year and a half but several times when I went to the bridge, the flag was not displayed as per the schedule.  Finally last June I did get some photos but it was a rainy day with a white sky and I've been wanting to get back.  So today, on the spur of the moment decided to try again. To see a few closeups of the flag, go to this link:  http://www.geoghanart.com/New-York-Skyline/George-Washington-Bridge/11317933_PFsxf4#1522810526_9MtRdMd"
00010.jsonl.gz-10138713,united states,1,"""Color photograph depicting white sign that reads """"Mount Peace Cemetery Lawnside Established 1900."""" An American flag is next to the sign. Graves are visible in the background."""
00121.jsonl.gz-3268355,united states,1,Seattle Seahawks Flag Set 2 Piece Ambassador Style
00056.jsonl.gz-12912553,united states,1,Learn how to create a Paint Pour American Flag with DecoArt on a USA wooden plaque a patriotic tutorial with Creatively Beth
00015.jsonl.gz-9872529,united states,1,Concept Energy Distribution Flag of USA merged with high voltage power poles
00104.jsonl.gz-7700775,united states,1,New Mexico State Flag VINTA Aluminum License Plate
00049.jsonl.gz-16048024,united states,1,"handmade wood cut American flag lawn decorations, Beaver, PA"
