id,text,url,entity_presence,llama,svm_1,new,gemini-flash_faiss_country
00000.jsonl.gz-14721464,Photo taken at Druid Hill Park by Alex on 1/5/2013,https://igx.4sqi.net/img/general/200x200/4656955_agJqK3LozvfKmA37kz0EaUKLKpwV2qGnj0duPVYK7Io.jpg,yes,united states,1.0,False,united states
00079.jsonl.gz-7474004,"Wispy clouds over a grassy hill in York County, Pennsylvania.",https://t1.ftcdn.net/jpg/00/75/11/68/240_F_75116876_cuk4xddxbLheA1J7xV8OqC6vaIucMMqo.jpg,yes,pennsylvania,1.0,False,united states
00023.jsonl.gz-9116155,This Texas Hill Country Creek is Calling,https://www.tenkarabum.com/images/tenkara-and-hydrotherapy-21902863.jpg,yes,united states,1.0,False,united states
00085.jsonl.gz-11619655,Lighthouse On The Rocks At Castle Hill IPhone Case,https://render.fineartamerica.com/images/rendered/medium/phone-case/iphone7/images-medium-5/lighthouse-on-the-rocks-at-castle-hill-andrew-pacheco.jpg,yes,no,1.0,False,united states
00085.jsonl.gz-13447617,"Lot 67 Spring Hollow Drive, Mars Hill, NC 28754 (#3273786) :: Exit Mountain Realty",https://bt-photos.global.ssl.fastly.net/cmls/orig_boomver_1_3273786-1.jpg,yes,nc,1.0,False,united states
00022.jsonl.gz-14624682,foto of snowy hill  - Los Angeles with snowy mountains in the background - JPG,https://static0.bigstockphoto.com/thumbs/3/8/4/small2/48335480.jpg,yes,no,1.0,False,united states
00080.jsonl.gz-2172354,"Sharp switchbacks on Russian Hill with Telegraph Hill in the background, night. San Francisco, California, USA ( black and white)",https://www.terragalleria.com/images/black-white/us-ca/usca42942-bw.small.jpeg,yes,united states,1.0,False,united states
00072.jsonl.gz-16495687,"This is the area where the Masonic Fire came up the hill on Sunday, Oct. 14, 2018 toward a home on Barbara Road in Redding.",https://www.gannett-cdn.com/presto/2018/10/14/PRRS/2dee70ff-6cba-4d1d-8ec7-6198af82237c-Masonic8.jpg?width=540&amp;height=&amp;fit=bounds&amp;auto=webp,yes,california,1.0,False,united states
00021.jsonl.gz-5824690,"Trappers in Yosemite Mountains, 1899-Thomas Hill-Framed Art Print",https://imgc.artprintimages.com/img/print/u-g-PPR1KH12WLFO.jpg,yes,united states,1.0,False,united states
00005.jsonl.gz-9988998,Washington Photograph - Lupines On The Hill by Carol Groenen,http://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/lupines-on-the-hill-carol-groenen.jpg,yes,united states,1.0,False,united states
00023.jsonl.gz-1318704,Carnegie Hill buttes,https://static1.bigstockphoto.com/thumbs/0/2/3/large2/32011679.jpg,yes,united states,1.0,False,united states
00093.jsonl.gz-8097658,"Monterey, McDowell, Allegheny Mountain, Blue Grass, Doe Hill, Hightown, Meadowdale, Mill Gap,Highland County, Virginia, travel, tourism, leaves, leaf, fall, color, autumn, photography, mountains, forest, landscape, photographs, photograph, pictures",https://i2.wp.com/highlandcountyva.blog/wp-content/uploads/2020/09/Shenandoah-Breastworks-Photo-Credit-Trevor-Lambert_opt.jpg?fit=600%2C450&ssl=1,yes,united states,1.0,False,united states
00080.jsonl.gz-7918880,(The Last of the Hill Farms: Echoes of Vermont's Past),https://images-na.ssl-images-amazon.com/images/I/5122LnCsraL.jpg,yes,vermont,1.0,False,united states
00073.jsonl.gz-16127680,Bernal Hill,https://farm3.static.flickr.com/2738/4088108774_58dfa0c6df.jpg,yes,united states,1.0,False,united states
00079.jsonl.gz-3738760,"Woman snowshoeing on Blueberry Hill at the Glen Alps area of Chugach State Park overlooking Anchorage, Alaska<br /> <br /> February 18, 2013",https://photos.smugmug.com/Alaska/AdventureRecreation/i-szWXsKW/0/89c2dd52/M/130218-681_2_3-M.jpg,yes,alaska,1.0,False,united states
00010.jsonl.gz-13215602,"Petroglyph, Signal Hill, West Unit, Saguaro NP, AX",https://bwkeelan.files.wordpress.com/2020/03/dscn0613.jpg?w=680,no,united states,1.0,False,united states
00007.jsonl.gz-2849627,"Fall foliage, Sugar Hill, White Mountains, NH",https://m.psecn.photoshelter.com/img-get/I000029X9tmhoO48/t/150/I000029X9tmhoO48.jpg,yes,nh,1.0,False,united states
00016.jsonl.gz-10026241,"In this photo provided by South Central Oregon Fire Management Partnership, smoke from a fire is seen Sunday, July 13, 2014, near Moccasin Hill, Ore. Officials say a fast-growing wildfire in southern Oregon has destroyed homes and forced dozens of evacuations. (AP Photo/South Central Oregon Fire Management Partnership)",https://twt-thumbs.washtimes.com/media/image/2014/07/14/8089af3e76b9d51b590f6a7067002a3c_c0-136-1630-1086_s326x190.jpg?a928f3b5d3403b3c1c284584084b45154a07564d,yes,united states,1.0,False,united states
00029.jsonl.gz-13159300,Stock photo of Eagle Rock at the Llano River in the Texas Hill Country,https://m.psecn.photoshelter.com/img-get2/I0000_qUFX4H_J_g/fit=1000x750/ZW2L1184.jpg,yes,texas,1.0,False,united states
00066.jsonl.gz-14894516,"Castle Hill Lighthouse, Newport, Rhode Island",https://farm3.static.flickr.com/2164/2278461342_74d5e741e7.jpg,yes,united states,1.0,False,united states
00019.jsonl.gz-4930186,"waterfall, hill country, edge falls, kendalia, summer, blue sky, june, turquois, water, afternoon, peace",https://www.imagesfromtexas.com/images/350/HIll-Country-Waterfall-Summer-Panorama-613-1.jpg,yes,australia,1.0,False,united states
00094.jsonl.gz-3961662,View From College Hill Giclée Print Studio Sale,https://cdn11.bigcommerce.com/s-7iojtie/images/stencil/600x1200/products/300/523/View_From_College_Hill_LDS_Temple_art_by_jeremy_winborg__19290.1511321080.png?c=2&imbypass=on,yes,no,1.0,False,united states
00093.jsonl.gz-5627159,Seattle Capitol Hill Cemetary and City View Stock Footage,https://images.pond5.com/seattle-capitol-hill-cemetary-and-footage-082812827_iconm.jpeg,yes,united states,1.0,False,united states
00068.jsonl.gz-13887281,"pedernales falls, pedernales river, texas hill country, texas landscapes, texas hill country photos, texas photography",https://www.imagesfromtexas.com/images/350/June-Sunrise-at-Pedernales-Falls-1.jpg,yes,texas,1.0,False,united states
00027.jsonl.gz-12704354,Blue Sky Over Fort Hill Fleece Blanket,https://render.fineartamerica.com/images/rendered/small/flat/blanket/images/artworkimages/medium/1/blue-sky-over-fort-hill-michael-helfen.jpg?transparent=0&targetx=-48&targety=0&imagewidth=1049&imageheight=800&modelwidth=952&modelheight=800&backgroundcolor=CDD5D7&orientation=0&producttype=blanket-coral-50-60&imageid=7772125,yes,no,1.0,False,united states
00030.jsonl.gz-7789212,"pictorial: pictorial landscape above garda lake, sasso village with church on the hill",https://us.123rf.com/450wm/susazoom/susazoom1607/susazoom160700095/61769425-pictorial-landscape-above-garda-lake-sasso-village-with-church-on-the-hill.jpg?ver=6,yes,italy,1.0,False,italy
00026.jsonl.gz-3676329,"View of Minori (right), Marmorata (left) and Ravello (on the hill)",https://media-cdn.tripadvisor.com/media/vr-splice-l/01/69/e8/92.jpg,yes,italy,1.0,False,italy
00086.jsonl.gz-12822179,"Ostuni, Apulia, Italy : zoom back  long view of hill top town and olive grove Stock Footage",https://images.pond5.com/ostuni-apulia-italy-zoom-back-footage-087623717_iconm.jpeg,yes,italy,1.0,False,italy
00081.jsonl.gz-8707896,4 hill towns of tuscany casole d'elsa,https://cookingwithmichele.com/wp-content/uploads/2013/11/4-hill-towns-of-tuscany-casole-delsa.jpg,yes,italy,1.0,False,italy
