id,gemini-flash_faiss_country,svm_1,text
00041.jsonl.gz-13339849,united states,1,finest wedding events in kentucky | the brown hotel | louisville
00084.jsonl.gz-11743666,united states,1,"Asotin, 1938 converted 1905 Ayres Hotel"
00113.jsonl.gz-10191374,united states,1,Most popular articles of 2014 new york design agenda for Luxury hotel project
00085.jsonl.gz-3089626,united states,1,A Disneyland tram passes by a sign for the Howard Johnson Anaheim hotel
00112.jsonl.gz-4603830,united states,1,Holiday Inn Va Beach-Oceanside (21st St) : View of hotel from the beach
00107.jsonl.gz-15350784,united states,1,"Gatsby Hotel, an Ascend Hotel Collection Member - New York, NY"
00023.jsonl.gz-2197584,united states,1,The Nantucket Hotel & Resort 1 of 7
00036.jsonl.gz-12726559,united states,1,The Excalibur Hotel and Casino in Las Vegas — Stock Photo
00063.jsonl.gz-7753973,united states,1,Hotel South Lake Buena Vista Suites
00013.jsonl.gz-3767234,united states,1,Hotel La Quinta Inn Houston Southwest
00063.jsonl.gz-1486602,united states,1,"Inside the Gourmet Restaurant at the Terrace Plaza Hotel designed by Skidmore, Owings & Merrill, featuring a mural by Joan Miro which has since been relocated to The Cincinnati Art Museum. (Photograph by Ezra Stoller. © National Trust for Historic Preservation)"
00058.jsonl.gz-6832608,united states,1,LuxeGetaways - Luxury Travel - Luxury Travel Magazine - Luxe Getaways - Luxury Lifestyle - Beverly Hills - Mens Spa Treatments - Luxury Spa Treatments - Spa for Guys - Spa on Rodeo - Luxe Hotel Beverly Hills
00029.jsonl.gz-15874648,united states,1,"Check out this post for Disney's Caribbean Beach resort tips to help you get the most out of your stay. Caribbean Beach resort is a moderate Disney hotel. Disney World Hotels, Disney World Florida, Walt Disney World Vacations, Disney World Resorts, Disney Travel, Caribbean Beach Resort, Beach Resorts, Miami, The Life"
00122.jsonl.gz-4453606,united states,1,"If you are traveling to Park City for skiing or summer adventures, the Chateau in Deer Valley, Utah is a relaxing getaway. Hotel review on UrbanBlissLife.com"
00104.jsonl.gz-14389214,united states,1,"Cabins And Cottages: Year Round Lake House - Naturally Inspired Georgia. Casa Hotel, Rustic Lake Houses, Round Lake, Modern Lake House, House Landscape, River House, New Home Designs, Backyard Landscaping, Landscaping Ideas"
00061.jsonl.gz-17687003,united states,1,Hollywood Media Hotel Foto
00016.jsonl.gz-4099266,united states,1,Houston - Online Hotel Booking Template | Hotel booking premium templates
00031.jsonl.gz-5361944,united states,1,Hotel Okura Amsterdam – A Touch of Japan In Holland
00072.jsonl.gz-13019451,united states,1,Windsor Court Hotel
00069.jsonl.gz-7380464,united states,1,Full Renovations Complete at the Staybridge Suites Baltimore BWI Airport Hotel
00012.jsonl.gz-6904523,united states,1,Фото отеля Cambria hotel & suites New York - Times Square 3*
00112.jsonl.gz-2393387,united states,1,Photo de West Baden Springs Hotel
00000.jsonl.gz-2711016,united states,1,Reviews Holiday Inn Express Hotel & Suites Circleville
00035.jsonl.gz-10882509,united states,1,hotels in the key west the southernmost house updated 2018 prices hotel
00100.jsonl.gz-7161245,united states,1,"Front view of #MagnoliaInn in #Pinehurst, NC. Please visit us during your next stay in Pinehurst. The charming Magnolia Inn is located in the heart of historic Pinehurst, North Carolina. The Hotel, Restaurant and Bar were built in 1896."
00042.jsonl.gz-16505880,pakistan,1,The Central Court Hotel Hyderabad - Superior Room
00107.jsonl.gz-16107850,pakistan,1,"The hotel in Karachi, showing broken windows and the bed sheets used by guests to escape a deadly..."
00076.jsonl.gz-8033164,pakistan,1,"Your Own Room in Faletti's Grand HOTEL Galiyat, Murree"
00037.jsonl.gz-4405762,pakistan,1,Hotel Haridwar in Hyderabad
00018.jsonl.gz-4736703,pakistan,1,"A bed or beds in a room at Rose Palace Hotel, Gulberg"
00124.jsonl.gz-3406700,pakistan,1,Hotel Savera Residency in hyderabad
