id,gemini-flash_faiss_country,svm_1,text
00038.jsonl.gz-9052587,united kingdom,1,"3 Bedrooms Semi Detached House for sale in Hazlemere Avenue, Macclesfield"
00046.jsonl.gz-6743525,united kingdom,1,"House - Terraced Sale Agreed in Machell Road, SE15 289 view6"
00083.jsonl.gz-2585791,united kingdom,1,2 Bedroom House for Rent on Minnie Street Keighley
00035.jsonl.gz-12341325,united kingdom,1,Room to let - Montpelier Rd. 3 bed house to share with 2 other students - close to South Ent of Uni
00079.jsonl.gz-3713698,united kingdom,1,"Thumbnail 4 bed detached house for sale in Southfields, Rochester"
00011.jsonl.gz-8220369,united kingdom,1,"3 Bedrooms Semi Detached House for sale in notridge road, norwich, Norfolk, NR5"
00060.jsonl.gz-10147621,united kingdom,1,Front view luxury tropical house design 27 east sussex lane by ong - Pagar Minimalis 2015 Google Pinterest Grills Gates And Doors
00115.jsonl.gz-8529335,united kingdom,1,"Richard Branson's House:  Live Like a Socialite for Just $60,000 A Night"
00044.jsonl.gz-1917377,united kingdom,1,"3 bedroom Terraced house to rent in Lackford Close, Brundall..."
00120.jsonl.gz-13161096,united kingdom,1,"House for sale, Ab Lench - Detached"
00041.jsonl.gz-17327660,united kingdom,1,"Thumbnail Detached house to rent in Chandos Way, London"
00100.jsonl.gz-1396953,united kingdom,1,"Thumbnail Terraced house to rent in Lime Grove, Harrogate"
00043.jsonl.gz-13155829,united kingdom,1,"Thumbnail 2 bed end terrace house for sale in Station Street, Walton On The Naze"
00037.jsonl.gz-9340566,united kingdom,1,"2 Bedrooms Semi Detached House for sale in Wellfield Avenue, Luton"
00033.jsonl.gz-10396342,united kingdom,1,"Thumbnail 2 bed terraced house for sale in Bradley Cottages, Leadgate, Consett"
00096.jsonl.gz-7872941,united kingdom,1,"Thumbnail 3 bed end terrace house for sale in Scoter Close, Woodford Green, Essex"
00032.jsonl.gz-7735799,united kingdom,1,"4 Bedrooms Detached House for sale in The Glen, Langstone, Newport"
00034.jsonl.gz-5341352,united kingdom,1,Large house for selfcatering functions in north Devon
00107.jsonl.gz-9894060,united kingdom,1,"2 bedroom terraced house to rent - Aisthorpe Road, Woodseats"
00065.jsonl.gz-7274381,united kingdom,1,"Thumbnail 3 bed end terrace house for sale in Hutland Road, Ipswich"
