id,text,url,llama,entity_presence,svm_1,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
00083.jsonl.gz-475718,"269 3rd Ave, Fox Island, WA 98333 (#1603051) :: Northern Key Team",https://bt-photos.global.ssl.fastly.net/nwmls/640_boomver_1_1603051.jpg,united states,no,1.0,,['no'],united states
00008.jsonl.gz-15414567,"View of Mount Rainier (14 409 ft / 4 392 meters), Whidbey Island, and Similk Bay at sunset.  Photographed from Mt. Erie Park(117 miles / 188 km away) in Anacortes, Washington, USA.",http://cdn.c.photoshelter.com/img-get2/I0000iCM.vHO2kRI/fit=188x188/fill=/g=G0000EbHfLV4HG_U/I0000iCM.vHO2kRI.jpg,united states,no,1.0,,['no'],united states
00070.jsonl.gz-14628851,"Ocean view at Black Sand Beach on Hawaii's Big Island. Blue pacific ocean with waves, rough volcanic rock and brown vegetation on shore. Coastline with green plants in the distance.",https://us.123rf.com/450wm/dghayes/dghayes1812/dghayes181200098/114920887-ocean-view-at-black-sand-beach-on-hawaii-s-big-island-blue-pacific-ocean-with-waves-rough-volcanic-r.jpg?ver=6,hawaii,yes,1.0,,['no'],united states
00005.jsonl.gz-11194582,A $1.7 billion Chinese loan deal to fund development of Treasure Island (pictured) and Hunters Point has collapsed.,https://i2.wp.com/media.bizj.us/view/img/196191/treasureislandrender*304.jpg,china,yes,1.0,,['no'],united states
00078.jsonl.gz-16863304,Fort George Island Hiking Trail Map,https://jaxhiking.com/images/fgi-map.jpg,united states,yes,1.0,,['no'],united states
00085.jsonl.gz-3975077,"Framed Buildings in a city with Alcatraz Island in San Francisco Bay, San Francisco, California, USA Print",http://www.fulcrumgallery.com/product-images/P746572-10/buildings-in-a-city-with-alcatraz-island-in-san-francisco-bay-san-francisco-california-usa.jpg,united states,yes,1.0,,['no'],united states
00076.jsonl.gz-2018440,Download Whidbey Island Landslide Aerial Editorial Photo - Image: 30146451,https://thumbs.dreamstime.com/b/aerial-view-massive-landslide-whidbey-island-near-coupeville-washington-severely-damaged-one-home-isolated-30146451.jpg,united states,yes,1.0,,['no'],united states
00072.jsonl.gz-15041183,"Additional photo for property listing at Tranquil Lakefront Home Under Mature Oaks. 100 Island Sanctuary Vero Beach, Florida 32963 United States",http://m.sothebysrealty.com/1103i215/dmfzwr9t9jnpm2p79b3h24qrc3i215,united states,yes,1.0,,['no'],united states
00021.jsonl.gz-5892858,Big Island Zipline Tour,http://www.top-10-hawaii.com/Portals/0/bigislandziplinetour.jpg,hawaii,yes,1.0,,['no'],united states
00071.jsonl.gz-6767994,Buy map Kailua Bay Island Of Hawai���i Nautical Chart (19331) by NOAA from United States Maps Store,https://www.yellowmaps.com/maps/ml/sm/1011533M.jpg,hawaii,yes,1.0,,['no'],united states
00068.jsonl.gz-14971431,Large Kauai Island Maps For Free Download And Print | High - Printable Driving Map Of Kauai,https://printablemapaz.com/wp-content/uploads/2019/07/large-kauai-island-maps-for-free-download-and-print-high-printable-driving-map-of-kauai.jpg,hawaii,yes,1.0,,['no'],united states
00067.jsonl.gz-287601,"Souvenirs de Fire Island, Long Island, New York Posters",http://cache2.allpostersimages.com/p/MED/36/3693/PH3AF00Z/affiches/souvenirs-de-fire-island-long-island-new-york.jpg,united states,yes,1.0,,['no'],united states
00084.jsonl.gz-6895265,"Aerial view of the island of St Thomas, USVI. Charlotte Amalie - cruise bay.",https://image.shutterstock.com/image-photo/stock-photo-aerial-view-of-the-island-of-st-thomas-usvi-charlotte-amalie-cruise-bay-450w-70037035.jpg,usvi (united states virgin islands),yes,1.0,,['no'],united states
00074.jsonl.gz-3267568,"""Block Island Map  Notecard 5"""" x 7""""  - Rhode Island""",https://cdn.shopify.com/s/files/1/1326/2017/products/Block_Island_Map_Back_900x.jpg?v=1528909034,rhode island,yes,1.0,,['no'],united states
00005.jsonl.gz-17590384,"Island Chains The Hawaiian Islands are the textbook example for an Island Chain, formed by a Hot Spot.",http://images.slideplayer.com/13/4148964/slides/slide_26.jpg,hawaii,yes,1.0,,['no'],united states
00077.jsonl.gz-2042860,"St. John, U.S. Virgin Islands, Caribbean, USVI, Scenic view of Cruz Bay on Saint John Island.",https://m.psecn.photoshelter.com/img-get/I0000JqGh9F6Q2Jk/s/860/860/AJ19908.jpg,us virgin islands,yes,1.0,,['no'],united states
00075.jsonl.gz-17784029,Crater Lake. A view of the island in Crater Lake with snow on the mountains Royalty Free Stock Image,https://thumbs.dreamstime.com/t/crater-lake-view-island-snow-mountains-46616676.jpg,united states,yes,1.0,,['no'],united states
00071.jsonl.gz-16820133,"Alcatraz Island, San Francisco stock photos",https://thumbs.dreamstime.com/t/alcatraz-island-san-francisco-1617713.jpg,united states,yes,1.0,,['no'],united states
00005.jsonl.gz-4052400,Crater Lake National Park Poster-Wizard Island (Personalized),https://cdn.shopify.com/s/files/1/1877/7493/products/Wizard_Island_Custom_framed_12_x_18_161210_731521a6-ebfe-48f9-98a2-2f6d15bf9e82_grande.jpg?v=1534329607,united states,yes,1.0,,['no'],united states
00017.jsonl.gz-940671,oahu generic island graphic,https://www.khon2.com/wp-content/uploads/sites/8/2018/09/oahu_1537500462266_56267444_ver1.0.jpg?w=768&h=432&crop=1,hawaii,yes,1.0,,['no'],united states
