id,gemini-flash_faiss_country,svm_1,text
00014.jsonl.gz-9188464,united states,1,Bathroom Showroom Ideas by Kitchen Cabinets Long Island Sumptuous Design 6 Amazing Bathroom
00070.jsonl.gz-14031349,united states,1,"1 Bedroom, Hell's Kitchen Rental in NYC for $3,395 - Photo 1"
00041.jsonl.gz-14933249,united states,1,"This is an example of a mid-sized midcentury u-shaped open plan kitchen in San Francisco with an undermount sink, flat-panel cabinets, white cabinets, white splashback, white appliances, dark hardwood floors, with island, brown floor and quartzite benchtops."
00071.jsonl.gz-6738827,united states,1,richmond hardwood flooring of amazing inspiration at flooring richmond va idea for decorator throughout linolium floor luxe light wood tile stunning tile kitchen in kitchen design 0d design
00041.jsonl.gz-13274124,united states,1,Kitchen Backsplash Kits by Tin Backsplash Contemporary Tile Ta By American
00112.jsonl.gz-11230752,united states,1,Open Kitchen at  The Robyn in NYC - Apartments for rent
00115.jsonl.gz-16863533,united states,1,Hampton Inn Philadelphia/Bridgeport: Kitchen and Dining Areas
00045.jsonl.gz-13492559,united states,1,Gilbert Kitchen Remodeling Photos Gallery04
00034.jsonl.gz-7122576,united states,1,kitchen cabinets chandler az kitchen simple kitchen cabinets chandler az regarding countertops
00087.jsonl.gz-5640684,united states,1,The estates at cedarday luxury new homes in bel air md for Model home kitchen images
00041.jsonl.gz-6722623,united states,1,Outstanding Mcdaniels Kitchen Bath Contractors 16839 S Us Hwy 27 Interior Design Ideas Apansoteloinfo
00110.jsonl.gz-2444308,united states,1,"A large, open plan great room containing the kitchen, dining, and family room functions are located at the northwest portion of the floor plan, allowing for views of downtown Pittsburgh."
00122.jsonl.gz-7577498,united states,1,Bellevue Residence Traditional Kitchen Seattle By
00005.jsonl.gz-15706837,united states,1,"2 Bedrooms, Hell's Kitchen Rental in NYC for $2,695 - Photo 1"
00099.jsonl.gz-6972755,united states,1,Before view of kitchen in Derry NH
00004.jsonl.gz-1187849,united states,1,kitchen design naperville cabinets wall mounted inspiring room a clarendon hills defines transitional inspiration
00091.jsonl.gz-15728718,united states,1,1482-concordia-avenue-stpaul-mn-kitchen 2.jpg
00019.jsonl.gz-11678146,united states,1,Kitchen Cabinets Hialeah Fl Wood Kitchen Cabinets Stone International
00022.jsonl.gz-12605318,united states,1,A vibrantly patterned floor accentuates this kitchen in Alameda designed by William Adams.
00029.jsonl.gz-5176197,united states,1,"A unique curved island with a rock facade and contemporary lighting, stools and tile combine for a warm and textured kitchen. Austin, Texas Dawn Hearn Interior Design www.dawnhearn.com"
00073.jsonl.gz-5369700,united states,1,"Gourmet Kitchen with Breakfast Bar and Pantry at Neo Midtown, 14151 Noel Rd, Dallas"
00045.jsonl.gz-16948589,united states,1,morning room design ideas oakland county custom kitchen morning room traditional kitchen detroit by
00062.jsonl.gz-5876338,united states,1,Custom Kitchen Cabinets Nyc Custom Kitchen Cabinets Pictures Options Tips Ideas Hgtv
00121.jsonl.gz-11060586,united states,1,Amish Kitchen Cabinets Pa by Kitchen Island Amish Kitchen Island Cart 4 1 2 Ft Reclaimed Pine
00037.jsonl.gz-14858110,united states,1,Galley Kitchen Design Ideas 3ccchicago Green Remodel Gourmet Galley Kitchen Remodel Galley
00100.jsonl.gz-5845570,united kingdom,1,Kohler Farm Sink Protector kitchen amazing apron sinks for kitchen u2014 prideofnorthumbria com
00063.jsonl.gz-12442515,united kingdom,1,Boars Hill House Classic English Kitchen
00106.jsonl.gz-11189118,united kingdom,1,Thinking about renovate your home? kitchen design Cambridge visit ...
00022.jsonl.gz-5026378,united kingdom,1,Country Kitchen Designs Uk
00079.jsonl.gz-16793379,united kingdom,1,"Kitchen of Tudor Court, Hatherley Road, Sidcup, Kent DA14"
