id,text,url,llama,entity_presence,svm_1,new,id_new,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
0,Stylehaven Interior Design - Vancouver Character Addition & Renovation - Living Room,https://stylehaven.ca/style-wp/wp-content/uploads/vancouver-living-room-renovation-3766-400x284.jpg,singapore,yes,1.0,False,0,vancouver,"['vancouver', 'west vancouver', 'north vancouver', 'city of vancouver', 'vancouver island', 'british columbia', 'montréal', 'canada', 'cañada', 'calgary']",canada
1953,living room packages brisbane benches for canada french country ideas 16 decor wakalix com,https://i.pinimg.com/originals/35/5a/d2/355ad2b6ed621f867ef584f84687084a.jpg,no,yes,1.0,False,1826,canada,"['canada', 'cañada', 'canadian', 'la cañada', 'america', 'vancouver', 'ontario', 'united states', 'uk', 'toronto']",canada
2243,tv stand for small living room most comfortable chairs stands spaces wayfair ca save,https://i0.wp.com/secure.img1-fg.wfcdn.com/im/85765814/resize-h310-w310%5Ecompr-r85/4464/44644957/frederick-tv-stand-for-tvs-up-to-50.jpg?strip=all,no,yes,1.0,False,2097,ca,"['califórnia', 'california', 'cali', 'la california', 'califon', 'calca', 'california city', 'cala', 'new california', 'city of california']",canada
2389,"3271 Travers Avenue, West Vancouver, Living Room at 3271 Travers Avenue, West Bay, West Vancouver",https://dyhx7is8pu014.cloudfront.net/www.brianrhys.com/homes/272915/thumb/P1000824-1.jpg?timestamp=1580143312,no,yes,1.0,False,2236,west vancouver,"['west vancouver', 'vancouver', 'north vancouver', 'city of vancouver', 'west columbia', 'vancouver island', 'north west province', 'west', 'north west', 'west bay']",canada
2745,cupboards for living room built in cabinets traditional living room toronto 17492,https://st.hzcdn.com/simgs/pictures/living-rooms/built-in-cabinets-lipa-woodwork-img~196135a300926f42_4-2458-1-bf9d0a9.jpg,no,yes,1.0,False,2570,toronto,"['toronto', 'city of toronto', 'new toronto', 'greater toronto area', 'ontario', 'montréal', 'toronto and east york', 'ottawa', 'toronto county', 'calgary']",canada
3565,Sectional Sofas At Edmonton Regarding Fashionable Sectional Sofas Edmonton Kijiji Living Room Furniture Edmonton (View 17 of 20),https://www.drawzit.com/wp-content/uploads/2018/04/sectional-sofas-at-edmonton-regarding-fashionable-sectional-sofas-edmonton-kijiji-living-room-furniture-edmonton.jpg,no,yes,1.0,False,3340,edmonton,"['edmonton', 'city of edmonton', 'calgary', 'winnipeg', 'alberta', 'ottawa', 'anaheim', 'montréal', 'stanleytown', 'city of stanley']",canada
3618,couch rug gorgeous ikea area rugs canada ikea rug for living room,http://tse4.mm.bing.net/th?id=OIP.2GFDe24DA0E8Nj1BQ2JT7AHaFj,no,yes,1.0,False,3392,canada,"['canada', 'cañada', 'canadian', 'la cañada', 'america', 'vancouver', 'ontario', 'united states', 'uk', 'toronto']",canada
3679,sophiepatersoninteriorsAnother angle of this celadon green and aubergine purple living room designed 4 years ago in Belgravia.,https://i.pinimg.com/736x/34/61/46/346146baf7128a8976d34d3689580d68.jpg,no,no,1.0,False,3445,belgravia,"['belgrano', 'kalývia', 'lavia', 'belforte', 'kälviä', 'belsunce', 'beleţi', 'briar hill-belgravia', 'belciugatele', 'belmopan']",canada
4091,accent wingback chairs patio chair covers walmart canada 21 living room decorating ideas in 2019 home furniture livingroomfurniture wingbackchairs livingroomwingbackchairs four,https://i.pinimg.com/originals/fb/80/48/fb8048833a9c7fa1def5a5ad1d7fc499.jpg,puerto rico,yes,1.0,False,3830,canada,"['canada', 'cañada', 'canadian', 'la cañada', 'america', 'vancouver', 'ontario', 'united states', 'uk', 'toronto']",canada
4532,The custom-designed lead art glass windows echo the front door and are common in heritage homes. Oak flooring from Quebec grounds the living room and is a warm complement to the marble foyer.,https://images.squarespace-cdn.com/content/5457f229e4b03152ab73e4a5/1430382633407-GAUCXT49XNHQBRBTJ1QG/11_Nanton_livingroom.jpg?format=1000w&content-type=image%2Fjpeg,no,no,1.0,False,4246,quebec,"['québec', 'nord-du-québec', 'montréal', 'centre-du-québec', 'ontario', 'la cañada', 'venise-en-québec', 'manitoba', 'canada', 'cañada']",canada
