id,text,svm_1,gemini-flash_faiss_country
24,"Office Space in Bristol, BS1 - Serviced Offices in Bristol",1.0,united kingdom
162,Dementia wall mural Post office design  -  pillar box bundle,1.0,united kingdom
327,Matthew Pottage in his office at RHS Wisley.,1.0,united kingdom
469,osaka grey carpet tiles in office Glasgow,1.0,united kingdom
478,"Photo of Office Space on 1 Royal Exchange Avenue, City of London Bank",1.0,united kingdom
599,"Corporate Yoga, Standing yoga, Rostrum Agency, Suksham Vyayama, Kriya, workplace yoga, office yoga, yoga everywhere, wellness week, desk yoga, chair yoga, corporate health and wellbeing champion, yoga London",1.0,united kingdom
755,"Thumbnail Office for sale in Leighton Road, London",1.0,united kingdom
944,"ARC Club co-working office in Homerton, London designed by Caro Lundin",1.0,united kingdom
947,"Curved office building in Glasgow, Scotland, UK Royalty Free Stock Photos",1.0,united kingdom
1005,Home Office,1.0,united kingdom
1034,chesterfield directors leather office chair antique autumn tan leather sofas traditional sofas chesterfield presidents leather office chair amazoncouk,1.0,united kingdom
1131,"A casually-dressed accountant works in a cluttered office cubicle in an auditing company's London headquarters.<br /> <br /> A limited edition (2 of 6) Lambda digital framed print created for the Werk Nu (Work Now) exhibition at the Z33 Gallery in Hasselt, Belgium and including specially selected text by Alain de Botton from his 'The Pleasures and Sorrows of Work' book (Hamish Hamilton, 2009). <br /> <br /> The photograph is the copyright Richard Baker. The text is the copyright Alain de Botton.<br /> <br /> For print sales enquiries email: richard(at)bakerpictures.com",1.0,united kingdom
1462,"Workers sit at their desks at the Jellyfish office space in London, Britain December 19, 2016.",1.0,united kingdom
1609,Home Office Furniture Uk,1.0,united kingdom
1757,Seek office furniture advice from the best UK-based consultation agency,1.0,united kingdom
1793,( L19 - Liverpool. L19 2NL Offices ) Rent Serviced Office Space in Liverpool. L19 2NL,1.0,united kingdom
1839,"Office space in Oceanair House, 750 High Road High Road",1.0,united kingdom
1856,Challenge House Office Space - MK3 6DP,1.0,united kingdom
1883,osaka grey carpet tiles in office Glasgow,1.0,united kingdom
1897,"Thumbnail Serviced office to let in London Road, Twickenham",1.0,united kingdom
2179,fitted home office furniture uk fitted home office,1.0,united kingdom
