id,gemini-flash_faiss_country,svm_1,text
00082.jsonl.gz-14311327,united states,1,South Beach Road Spiral Notebook
00101.jsonl.gz-11899504,united states,1,". IDAHO SPRINGS, CO- MARCH 28:  Construction worker Dan Luna checks out work along  the new lanes of the highway just west of the twin tunnels.   Construction continues on road work on I-70 and the twin tunnels near Idaho Springs on March 28th, 2013.  The highway is being widened in the east bound lanes.  The widening will start just west of the twin tunnels after Idaho Springs and will continue until the exit for Highway 6 where I-70 becomes three lanes.  They expect the project to be finished by the end of 2013.  (Photo By Helen H. Richardson/ The Denver Post)"
00108.jsonl.gz-6271913,united states,1,Amgen Tour Of California Amgen Tour Of California is one of the biggest bike races in California. Action Active Athlete Athletic Bicycle Bike Bike Race Biker Competition Cycle Cyclist Extreme Fitness Health Leader Men Motion People Professional Race Road Speed Sports Team Tour
00051.jsonl.gz-9035117,united states,1,"Two tractor trailers and a pickup truck have been involved on I-495 near Old Georgetown Road.{ } Wednesday, Jan. 16, 2019. (Pete Piringer/Montgomery County Fire and Rescue){ }{ }"
00115.jsonl.gz-4263158,united states,1,Jasper Volunteer Fireman Nick Nowakowski observed where water flooded Indiana State road 162 towards Ferdinand on Saturday. The fire department closed down the road and redirect traffic after rescuing  three stranded vehicles earlier that morning.
00099.jsonl.gz-8038718,united states,1,traffic on city road and cityscape of seattle at night
00104.jsonl.gz-5279827,united states,1,Us army tank driving down paved road with soldier following Stock Footage
00006.jsonl.gz-1421748,united states,1,COUNTRY ROAD PALOUSE WASHINGTON BLACK AND WHITE LANDSCAPE
00043.jsonl.gz-5972931,united states,1,Raystown Road - Photo 2
00045.jsonl.gz-17149661,united states,1,"Road passing through a landscape, Saguaro National Park, Tucson, Pima County, Arizona, USA by Panoramic Images 3-piece Canvas Print"
00108.jsonl.gz-5114131,united states,1,Lincoln road Starbucks Stock Footage
00023.jsonl.gz-902369,united states,1,backroad: One lane dirt road disappears into  the distance on this tree lined logging road in the upper penninsula of Michigan.  Brilliant yellow and orange trees at peak color fill the fall woods with brilliant color.
00040.jsonl.gz-14197746,united states,1,"Carriage passing through carriage road gate. Acadia National Park, Maine, USA. (black and white)"
00018.jsonl.gz-8480308,united states,1,Woodbridge police and Connecticut State Police investigate a homicide Wednesday on Rimmon Road. Photo: Pam McLoughlin / Hearst Connecticut Media
00016.jsonl.gz-812292,united states,1,monument valley road 2
00086.jsonl.gz-4871271,united states,1,Indian Canyons Road Palm Springs California
00118.jsonl.gz-1097714,united states,1,"Churchville Truck Driving School Shares Tips for Sharing the Road With Semis, Riga, New York"
00054.jsonl.gz-16539476,united states,1,"Upheaval Dome road and mountain, Dead Horse Point State Park, Utah - USA."
00067.jsonl.gz-10504451,united states,1,A pair of cowboys drives a small herd of cattle down a road in the Madison Valley in southwestern Montana
00033.jsonl.gz-17907830,united states,1,Night Transportation Illuminated Road Car Traffic Street Light Highway Bridge - Man Made Structure Mode Of Transport Light Trail No People Architecture Land Vehicle Built Structure City Outdoors Sky Politics And Government Photographerinlasvegas Evanscsmith Architecture
00104.jsonl.gz-12502918,united states,1,4 WD car is crossing river in jungle 4wd 4x4 4x4 Travel Automobile Hawaii Outdoor Activity Transportation Adventure Bad Road Conditions Day Difficult Forest Jungle Lush Green Nature No People Outdoors River Crossing Road Trip Travel Destinations Tree
00078.jsonl.gz-2983267,united states,1,"5360 Scotts Valley Road, Lakeport CA: http://media.crmls.org/medias/c33e0f05-7055-4b88-98e0-159f88ffd2c2.jpg"
00060.jsonl.gz-11233970,united states,1,1938 photo looking north up Butte Street past the Butteville Store and Odd Fellows Hall. Note that the road down to the landing has become overgrown from disuse {Photo from Willamette Landings by Howard M. Corning]
00091.jsonl.gz-6664039,united states,1,Road To Hana Framed Print by Adam Romanowicz
00042.jsonl.gz-6210354,united states,1,passing over (jssteak) Tags: road sky rain canon fence landscape colorado afternoon grasses thunderstorm dirtroad plains clounds grasslands tumbleweed textured stromy barbwirefence pawneenationalgrasslands t1i fencefriday fencedfriday
00079.jsonl.gz-11259782,croatia,1,Dramatic and dangerous weather conditions on the road of Croatia through the blurred windshield of car - heavy hail storm
00055.jsonl.gz-4977991,croatia,1,Scenic road in region of Lika
00055.jsonl.gz-11039123,croatia,1,"Aerial View of Omis and Cetina River at Dramatic Sunset, Dalmatia, Croatia (ansharphoto) Tags: road old city travel bridge roof sunset red sea sky urban panorama cliff house mountains building tree history water rock electric skyline architecture night clouds river landscape lights evening town twilight europe mediterranean european cityscape village dusk dramatic croatia landmark canyon medieval illuminated gorge iconic vacations adriatic dalmatia cetina omis"
00077.jsonl.gz-6318820,croatia,1,All you need to know to plan your perfect trip! Detailed info for Croatia road trip.
00098.jsonl.gz-1394350,croatia,1,Road to the mountains in Croatia Stock Image
00007.jsonl.gz-15297359,croatia,1,Croatia Road Trip Itinerary
00073.jsonl.gz-7155032,croatia,1,Hills road of Croatia in summer royalty free stock photos
00037.jsonl.gz-580007,croatia,1,Typical landscape of nature in Croatia on the coast of Istria. Beautiful empty road with rows of young grapes in the countryside. Summer day. Nature green background.
00097.jsonl.gz-9062240,croatia,1,The right road to Krivi Put | Via Dinarica White Trail Croatia
00070.jsonl.gz-3421935,croatia,1,F1 fast: Electric Rimac Nevera is world's quickest-accelerating road car
00008.jsonl.gz-16332795,croatia,1,"Zagreb, Croatia - 27th October, 2019 : Traffic on the two way road during thick morning fog."
00002.jsonl.gz-1335563,croatia,1,croatia-road
00114.jsonl.gz-12455237,croatia,1,"1 December 2017 – How to improve young road user and cyclist safety, Zagreb"
00075.jsonl.gz-10190016,croatia,1,"European Road Trip ... (Plitvice, Croatia) Canvas Print"
00124.jsonl.gz-7350918,croatia,1,Deep Forest Road Trail in Plitvice National Park Croatia with Water Stream
00014.jsonl.gz-15616010,croatia,1,View from the terrace of the access road to the property and the sea in the Kvarner Bay.
00041.jsonl.gz-9010943,croatia,1,Wooden Road Trail in Plitvice National Park Croatia with Water Stream
00022.jsonl.gz-10052763,croatia,1,Croatia Mountains On The Road In The Car Capturing Movement On The Move Landscape_photography
00110.jsonl.gz-10402063,croatia,1,Stara Baska coast road 37 Stock photo © LianeM
00126.jsonl.gz-6831130,croatia,1,Stock Photo of Road over the sea to Rogoznica
00104.jsonl.gz-13543861,croatia,1,"Aerial view of road in beautiful green forest at sunset in spring. Colorful landscape with car on the roadway, trees in summer. Top view from drone of highway in Croatia. View from above. Travel"
00112.jsonl.gz-4740336,croatia,1,Bistra - a road through a castle (rlubej) Tags: notranjska castle ontheroad
00002.jsonl.gz-5541217,croatia,1,Drone shot flying over rural road and countryside in Istria region in Croatia Stock Footage
00045.jsonl.gz-12341571,croatia,1,"Stock Video Footage of Road resurfacing on Island Mljet, aerial"
00007.jsonl.gz-4149917,croatia,1,A group of multicoloured homeless stray cats sitting and waiting outside on the road in downtown Dubrovnik for volunteers to feed them. Surrounded by greenery on a sunny day in summer
00013.jsonl.gz-10898906,china,1,"A road block is seen following the outbreak of the coronavirus in Wuhan, Hubei province, on Feb 7, 2020."
