id,text,url,llama,entity_presence,svm_1,id_new,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
15,Once Upon A Time's Mr. Gold's Pawnbroker Shop in Disney's Hollywood Studios,https://i.pinimg.com/236x/c8/26/42/c82642261673c25b61066fc5c70e46ba--disney-tips-disney-parks.jpg,united states,yes,1.0,15,disney's hollywood studios,"['hollywood', 'hollywood park', 'city of hollywood', 'town of hollywood', 'north hollywood', 'town of hollywood park', 'west hollywood', 'city of west hollywood', 'broadway', 'paramount']",united states
222,"Barry Beck, Bluemercury Founder, at the grand opening of Bluemercury Shop-in-Shop at Macy's, San Francisco.",https://cdn.shopify.com/s/files/1/1265/7867/files/BarryBeck-BluemercuryMacys-1.jpg?v=1472579062,united states,yes,1.0,205,san francisco,"['san francisco', 'south san francisco', 'city of san francisco', 'san francisco bay area', 'san francisco (el calvito)', 'san francisco grande', 'san francisco (mata clara)', 'san francisco del mar', 'san francisco (anao-aon)', 'san francisco sola']",united states
267,"Sandwich shop, Wilshire Boulevard and Le Doux Road., east on Wilshire Boulevard",https://digitallibrary.californiahistoricalsociety.org/sites/default/files/styles/islandora_imagecache_image_style_medium/public/externals/1227779c89521d51a5867bb108b6ca56.jpg?itok=ucbI7y30&pid=islandora:1096&iic=true&solr_nav%5Bid%5D=15a181fd0b52034f7abf&solr_nav%5Bpage%5D=0&solr_nav%5Boffset%5D=22,united states,yes,1.0,247,wilshire boulevard,"['boulevard gardens', 'hellshire', 'city of wilmore', 'boulevard park', 'pembrokeshire', 'richmondshire district', 'grand boulevard', 'rosedale-moore park', 'renfrewshire', 'gardendale']",united states
268,"Blue Knights International Law Enforcement Motorcycle Club, Nebraska II 4th Annual Shop with a Knight",http://blueknightslemc.com/wp-content/uploads/2017/12/full-blue_knights_lemc_nebraska_767f8ec0-04c2-46f8-9e28-7327786b7664-260x260.jpg,united states,yes,1.0,248,nebraska,"['nebraska', 'nebraska city', 'omaha', 'city of nebraska city', 'iowa', 'lincoln', 'indiana', 'northampton', 'hampshire', 'kansas']",united states
271,"Great Outdoor Sub Shop Incorporated - Richardson, TX",https://i2.ypcdn.com/blob/4b2af5a3f46ddcdd22e0a402b3a933bab0780671_400x260_crop.jpg,united states,yes,1.0,251,"richardson, tx","['city of richardson', 'richardson', 'richardson county', 'blakehurst', 'andrews, tx micro area', 'bensonhurst', 'brewster', 'lewiston-auburn, me metro area', 'billingshurst', 'central texas']",united states
300,Sacramento Barber Shop Employees Quit Following Supreme Court Ruling,http://i.ytimg.com/vi/3VZnucGhjtg/mqdefault.jpg,united states,yes,1.0,280,sacramento,"['sacramento', 'west sacramento', 'sacramento county', 'sacramento-roseville-folsom, ca metro area', 'colonia del sacramento', 'fresno', 'sac city', 'califórnia', 'california', 'el fresno']",united states
328,"NEW YORK - CIRCA MARCH 2016: inside of 7-Eleven shop. 7-Eleven (7-11) is an international chain of convenience stores, headquartered in the American city of Dallas, Texas.",https://static1.bigstockphoto.com/thumbs/6/2/1/large2/126022259.jpg,united states,yes,1.0,306,dallas,"['dallas', 'dallastown', 'city of dallas', 'town of dallas', 'dallas center', 'lake dallas', 'dallas county', 'borough of dallas', 'city of dallas center', 'dallas-fort worth-arlington']",united states
333,"Photo of Ice Cream Shop Dairy Creme Corner at 187 Homewood Ave, Fairmont, WV 26554, United States",https://irs2.4sqi.net/img/general/400x220/64249156_YXVv-kiRHac1OB8gIlNH-AcXGRAsr3glHxjQw7QMp84.jpg,united states,yes,1.0,310,united states,"['united states', 'america', 'us', 'cañada', 'canada', 'uk', 'texas', 'china', 'chiná', 'califórnia']",united states
342,chicago white sox comiskey park historic mural wall decal shop chicago white sox comiskey park historic fathead wall mural,http://t0.gstatic.com/images?q=tbn:ANd9GcSK9HjnpzQTrkys1dfARv0cjvShOPFc4ZGE6lYmhlJAjlRFt9nE,no,no,1.0,319,chicago,"['chicago', 'new chicago', 'west chicago', 'city of chicago', 'south chicago', 'north chicago', 'east chicago', 'chicago metropolitan area', 'chicago heights', 'south chicago heights']",united states
415,Come Check Out The New Pop Up Shop At Schaumburg Plato S Closet Check Out All The Latest Trends In Denim From All Your Favo Pop Up Shop Latest Trends Wardrobe,https://i.pinimg.com/736x/fa/31/b3/fa31b39cadc7424a1413f643c4baf191.jpg,no,yes,1.0,388,schaumburg,"['schaumburg', 'village of schaumburg', 'naumburg', 'landkreis schaumburg', 'naumburg (saale)', 'friedeburg', 'kondurg', 'schauenburg', 'naldurg', 'velburg']",united states
429,Fans mob the Twins Souvenir Shop across from Fenway Park to purchase American League Championship garb in time for the Red Sox' first World Series appearance in 18 years.,http://cache.boston.com/bonzai-fba/Original_Photo/2004/10/22/1098473017_6326.jpg,united states,yes,1.0,399,fenway park,"['flemingdon park', 'oxley park', 'kennedy park', 'bossley park', 'holland park', 'midland park', 'madison park', 'queens park', 'lincoln park', 'kingswood park']",united states
