id,gemini-flash_faiss_country,svm_1,text
00092.jsonl.gz-2788756,united states,1,Toilet (Pinellas Park)
00107.jsonl.gz-12808257,united states,1,HS-1533F Hot sale siphonic toilet american standard toilet without tank
00093.jsonl.gz-17607811,united states,1,toilet and sink combination units roswell kitchen bath
00036.jsonl.gz-16123972,united states,1,toilet repair San Diego CA
00033.jsonl.gz-11706322,united states,1,"Two bedroom villa bathroom with shower/tub combination, toilet and sink with lighting at New Orleans Resort in Louisiana."
00086.jsonl.gz-11075338,united states,1,"Example of a large transitional master gray tile and marble tile marble floor and gray floor bathroom design in Atlanta with recessed-panel cabinets, gray cabinets, a two-piece toilet, white walls, an undermount sink, marble countertops, a hinged shower door and gray countertops"
00104.jsonl.gz-723256,united states,1,Neutral Colored Bathrooms - corian colors bathroom united states with mounted toilet paper holders
00123.jsonl.gz-557419,united states,1,Mid-sized elegant dark wood floor and brown floor powder room photo in Minneapolis with a console sink and a two-piece toilet
00105.jsonl.gz-716984,united states,1,"Doorless shower - small contemporary beige tile and porcelain tile porcelain floor doorless shower idea in Chicago with an integrated sink, a two-piece toilet, flat-panel cabinets, concrete countertops, blue walls and white cabinets"
00043.jsonl.gz-755075,united states,1,ffb2a56791a American Standard 2034.014.020 Champion-4 Right Height One-Piece Elongated  Toilet
00011.jsonl.gz-12976000,united states,1,"Bathroom - small traditional master ceramic tile and brown tile ceramic tile and beige floor bathroom idea in New York with dark wood cabinets, an undermount sink, raised-panel cabinets, marble countertops, a two-piece toilet, brown walls and a hinged shower door"
00104.jsonl.gz-6009608,united states,1,replacing a toilet-always affordable plumbing sacramento
00068.jsonl.gz-1156147,united states,1,"Mid-sized elegant 3/4 medium tone wood floor bathroom photo in San Francisco with recessed-panel cabinets, dark wood cabinets, a one-piece toilet, beige walls and an undermount sink"
00119.jsonl.gz-8412530,united states,1,"Free round toilet with tank for Sale in Land O Lakes, FL"
00113.jsonl.gz-13622408,united states,1,PRANKED: WOMAN GLUED TO TOILET SEAT IN HOME DEPOT
00112.jsonl.gz-6749694,united states,1,"3 Signs You Should Replace a Toilet, Maui County, Hawaii"
00007.jsonl.gz-13725276,united states,1,"Inspiration for a small traditional cloakroom in DC Metro with beaded cabinets, red cabinets, a two-piece toilet, white walls, slate flooring, a submerged sink, marble worktops, grey floors and white worktops."
00022.jsonl.gz-3561732,united states,1,"Dometic 310 RV Toilet seat cover for Sale in Long Beach, CA"
00096.jsonl.gz-14725319,united states,1,American Standard Cadet Pro Right Height Triangle Toilet- Round Front- White
00051.jsonl.gz-11950335,united states,1,"Powder Springs, GA - Replacing (1) toilet with a American standard cadet pro with quiet closing seat."
00025.jsonl.gz-17815049,united states,1,"Inspiration for a timeless master gray tile and marble tile marble floor and gray floor bathroom remodel in New York with gray cabinets, beaded inset cabinets, a one-piece toilet, gray walls, an undermount sink, marble countertops, a hinged shower door and white countertops"
00077.jsonl.gz-1518978,united states,1,"Example of a beach style kids' light wood floor and beige floor bathroom design in Charleston with a two-piece toilet, white walls and a trough sink"
00017.jsonl.gz-524221,united states,1,Mabis 641 2571 0005 Elongated Hinged Toilet Seat Walmart
00116.jsonl.gz-4537301,united states,1,Toilet Replacement in Riverside California
00022.jsonl.gz-17407240,united states,1,Chicago Toilet 16.5inch 6L White Front View
00123.jsonl.gz-12639262,china,1,Porcelain one piece toilet chinese style red color wc toilet
00126.jsonl.gz-10411984,china,1,Mansfield Plumbing Products Summit Smartheight 1 6 Gpf Elongated Two Piece Toilet Seat Not Included Traditional Toilets Toilet China Toilet
00101.jsonl.gz-12213732,china,1,Hangzhou Da Ben Ying Hostel: The Bathroom and Toilet
00127.jsonl.gz-5166840,china,1,made in china ceramic toilet with ivory color standard toilet dimensions
00037.jsonl.gz-4021437,china,1,Guangzhou factory Strong Quality Outdoor Mobile Portable Toilet/cheap portable toilets sale/plastic portable toilet QX-142F
00063.jsonl.gz-16605196,china,1,2018 hot chinese wc toilet 2 in 1 manufacturer
00005.jsonl.gz-3174440,china,1,Sell Bathroom Cceramic toilets Water Close One-Piece Ceramic Toilet China
00061.jsonl.gz-660328,china,1,"China One-Piece Ceramic Toilet Sanitary Ware , Floor Mounted Toilet on sale"
00024.jsonl.gz-8205921,china,1,Jingdezhen square large Siamese toilet retro mop mop pool pool mop basin mop pool is suing the balcony
00094.jsonl.gz-5763875,china,1,Wholesale Direct Factory Proffesional Cheap Toilet Set For Building Project Needs Building Material from china suppliers
00009.jsonl.gz-6577821,china,1,Western ToiletWall Hung Toilet PriceToilet CommodeChaozhou
00057.jsonl.gz-527879,china,1,China RE246 Raised Toilet Seat with Lock on sale
00064.jsonl.gz-4892359,china,1,"China seizes 7,600 rolls of toilet paper featuring Hong Kong's pro-Beijing leader Leung Chun-ying's face"
00080.jsonl.gz-15736533,china,1,China Brand Dual-Flush Posted Children Toilet Bowl
00025.jsonl.gz-15952802,china,1,c-108 Modern chinese girl club toilet pots
00009.jsonl.gz-5256813,china,1,China high quality ceramic toilet sink with vanity top porcelain bathroom cabinets middle edge sink for bar counter
00095.jsonl.gz-16621681,china,1,1 bag Disposable Travel Safety PE Plastic Toilet Seat Cover Mat Cushion Maternity Waterproof Antibacterial Potty Pad(China)
00072.jsonl.gz-3717413,china,1,Sensor Toilet Light LED Lamp Human Motion Activated PIR 8 Colours Automatic RGB Night lighting(China)
00088.jsonl.gz-9050941,china,1,China sanitary ware suppliers Siphonic One-Piece Toilet (A-0168)
00052.jsonl.gz-2239889,china,1,JingYanBing art on the stage of crack basin of jingdezhen ceramic lavatory toilet stage basin to restore ancient ways on the sink
00017.jsonl.gz-9592741,china,1,China Square Complete Shower Enclosures Shower House With Washroom / Mirror / Toilet wholesale
00116.jsonl.gz-9025987,china,1,Z17 Sensor Toilet Light LED Lamp Human Motion Activated PIR 8 Colours Automatic RGB Night lighting can be change color by itself(China)
00013.jsonl.gz-7314811,china,1,CY3573-China manufacturer sanitary ware wall hung toilet
00013.jsonl.gz-4824072,china,1,Toilet Seat Heated Offer New No Stocked Toilet Seat Cover Strange Productso-type Commode Warm Pad Random Colorsnew(China (Mainland))
00013.jsonl.gz-8549480,china,1,One Piece Siphon Jet Flushing Chinese Toilet
00108.jsonl.gz-12164618,canada,1,Toilet Sink Combo Units for Sale Canada Baby Devoro 1 28 Gpf Flowise Kids toilet American Standard
00021.jsonl.gz-11707472,canada,1,"NIAGARA CONSERVATION N7799 283551 0.8 gpf Stealth Watersense High-Efficiency Elongated Toilet Bowl with Rear Outlet, White"
00041.jsonl.gz-4290645,canada,1,Baroque-Free-Standing-Toilet-Paper-Holder-technique-Toronto-Transitional-Bathroom-Decorating-ideas-with-above-counter-sink-bathroom-lighting-bathroom-mirror-bathroom-tile-cream-walls-dark-frames-dark
00069.jsonl.gz-10267009,canada,1,TOILET CADDY - Better Living Products Canada
00075.jsonl.gz-2659351,canada,1,"Inspiration for a large contemporary master multicolored tile and porcelain tile marble floor bathroom remodel in Vancouver with a vessel sink, raised-panel cabinets, light wood cabinets, granite countertops, a one-piece toilet and black walls"
00047.jsonl.gz-17600635,canada,1,10 Inch Rough In Toilet Canada Top 8 Best Toto Toilets Reviewed For 2019 Buyer Guide Inside
00121.jsonl.gz-15877090,canada,1,Toilet Kijiji Free Classifieds In Toronto Gta Find A
00116.jsonl.gz-7381674,canada,1,toilet canada consultation an a services with en installation the in request plumbing provider home service depot is licensed
00079.jsonl.gz-9243114,canada,1,toilet font seat bidet luxurious hygienic friendly combo home depot combination canada reviews
00015.jsonl.gz-2153328,canada,1,"Historic photo from Thursday, September 15, 1938 - Old toilet at 167 Sherbourne Street in Cabbagetown South"
00057.jsonl.gz-944580,canada,1,Flash back Friday to a master ensuite that I designed about 5 years ago @williamstandenco To combine luxury with a barrier free shower and toilet space. ______________________________________________ #barrierfree #universaldesign #wheelchairaccess #bathroomdesign #designlove #bathroom #interiordesign #customcabinetry #nkba #nkbaontario #homedesign #williamstanden #williamstandenco #vanity #cabinetry #designideas #bathroomideas #hgtv #hgtvcanada #renovation #remodel #sarnia #londonont #lndont…
00098.jsonl.gz-11147271,canada,1,trendy walk in shower photo in vancouver with a wall mount toilet - Bamboo Bathroom Design
00114.jsonl.gz-10910555,canada,1,raised toilet seat with lid walmart canada
00036.jsonl.gz-1270893,canada,1,MARKHAM EcoMax - Dual Flush One-Piece Toilet
00058.jsonl.gz-3548598,canada,1,"Alcove shower - small contemporary kids' white tile and ceramic tile porcelain tile alcove shower idea in Toronto with an undermount sink, flat-panel cabinets, white cabinets, solid surface countertops, a two-piece toilet and gray walls"
00009.jsonl.gz-14080553,canada,1,Toilet repaired by Dj Plumbing in Vancouver
00085.jsonl.gz-970685,canada,1,"Bath Room, Pendant Lighting, Vessel Sink, and Two Piece Toilet The total cost of the project from demolition to the purchasing of brand new bedsheets was $567,996.    Photo 13 of 13 in A 1960s Canadian Ski House Is Rebuilt Into a Gorgeous Abode"
00080.jsonl.gz-13081966,canada,1,Toilet Safety Frame Rentals at The Comfort Zone Mobility Aids & Spas in Port Alberni Vancouver Island BC
00027.jsonl.gz-12335138,canada,1,"Mid-sized transitional marble floor and white floor powder room photo in Toronto with recessed-panel cabinets, gray cabinets, an undermount sink, quartz countertops, a one-piece toilet, white walls and white countertops"
00085.jsonl.gz-6746459,canada,1,"Guest bathroom with white tile and white sink, toilet, shower and towels at the Polar Inn in Churchill, Canada."
00002.jsonl.gz-5702042,canada,1,Bathroom Stall Dividers Edmonton by Bathroom Partitions Inside Glass Toilet Cubicles Glass Toilet
00032.jsonl.gz-4207724,canada,1,"Lower Suite Bathroom Tagged: Bath Room, Vessel Sink, Open Shower, Concrete Floor, Corner Shower, Full Shower, Recessed Lighting, Glass Tile Wall, Ceiling Lighting, Table Lighting, and One Piece Toilet.  East Pender home"
00078.jsonl.gz-4436483,canada,1,modern toilet design modern bathroom vanities in canada myideasbedroom com
00104.jsonl.gz-3147766,canada,1,Canada Drive Hotel and Suites : Disgusting Toilet with yellow stains
00017.jsonl.gz-1593501,canada,1,"Elegant subway tile and black and white tile white floor bathroom photo in Toronto with white cabinets, a two-piece toilet and white countertops"
00009.jsonl.gz-9818324,spain,1,Synergy Valencia Close Coupled WC Toilet Unit
00070.jsonl.gz-9978019,spain,1,LeVivi Marbella Back-To-Wall Toilet Suite
00016.jsonl.gz-16157398,spain,1,spic-and-span toilet and bath in Barcelona - Sant Antoni Market 3BR luxury apartment
00093.jsonl.gz-16949416,spain,1,"Design ideas for a small mediterranean bathroom in Malaga with flat-panel cabinets, white cabinets, an alcove bath, a walk-in shower, a wall mounted toilet, white tiles, ceramic tiles, white walls, porcelain flooring, a submerged sink, laminate worktops, brown floors, an open shower and white worktops."
00047.jsonl.gz-2294166,spain,1,"Sevilla Apartamento - Full bathroom with shower, wasbasin and toilet. Towels are provided."
00110.jsonl.gz-10697350,spain,1,"Small danish subway tile and white tile travertine floor powder room photo in Barcelona with a two-piece toilet, white walls, a vessel sink and marble countertops"
00045.jsonl.gz-6676494,spain,1,"Trendy 3/4 blue tile, green tile and mosaic tile gray floor corner shower photo in Madrid with flat-panel cabinets, white cabinets, a vessel sink, a hinged shower door, a wall-mount toilet, white walls and white countertops"
00027.jsonl.gz-17474614,spain,1,Location de vacances - Appartement à Malaga - toilet and wash/drymachine
00009.jsonl.gz-1591187,spain,1,"New townhouses for sale in Elche, Alicante: 2 Bathrooms + 1 toilet"
00036.jsonl.gz-8278119,spain,1,Novotel Barcelona City: Toilet area
00007.jsonl.gz-12023550,spain,1,accessible toilet in cadiz
00016.jsonl.gz-10091374,spain,1,Moeeze-Home European Custom Toilet Seat Cover Old Cathedral and Palace in Madrid Mediterrenean City Europe Urban Print Toilet Bath Mats Rugs Multicolor ()
00112.jsonl.gz-2356864,spain,1,Toilet with Rimless techonology by Roca
00091.jsonl.gz-15903557,spain,1,View of the room toilet of the Sotogrande
00055.jsonl.gz-9881020,spain,1,LeVivi Marbella Back-To-Wall Toilet Suite
00082.jsonl.gz-15844646,spain,1,Cool Toilet By Roca
00082.jsonl.gz-6645602,spain,1,Royal Granada Contemporary Toilet
00021.jsonl.gz-4062126,spain,1,Ariel Bath Granada Contemporary Elongated 1 Piece Toilet with Dual Flush
00095.jsonl.gz-7119199,spain,1,Valencia Bathroom Combination Suite Unit with Basin & Round Toilet - 1100mm
00087.jsonl.gz-1521886,spain,1,"This is an example of a mid-sized contemporary 3/4 bathroom in Barcelona with recessed-panel cabinets, brown cabinets, an alcove tub, a shower/bathtub combo, a wall-mount toilet, gray tile, ceramic tile, grey walls, ceramic floors, a vessel sink, wood benchtops, grey floor, an open shower, brown benchtops, an enclosed toilet, a single vanity, a built-in vanity, wallpaper and panelled walls."
00092.jsonl.gz-6490869,spain,1,"Japanese Bathroom, Natural Interior, Changing Room, Private Room, Wet Rooms, Spanish Style, Toilet, Interior Decorating, Bathtub"
00080.jsonl.gz-13340717,spain,1,Granada - Royal Contemporary European Toilet with Dual Flush
00024.jsonl.gz-11974985,spain,1,Spanish property purchase - toilet with ceramic walls needs no update
00033.jsonl.gz-13408180,spain,1,"YGUII Comfort Flannel 3 Pcs Bath Rug Set,Contour Mat Toilet Seat Cover,Madrid City Night Spain Main Street Ancient Architecture Decorative with Grey,Decorate Bathroom,Entrance Door,Kitchen,Bedroom ()"
00013.jsonl.gz-12733555,spain,1,"New townhouses for sale in Elche, Alicante: 2 Bathrooms + 1 toilet"
00123.jsonl.gz-530026,italy,1,add the finishing touches to your bathroom with the milano ambience toilet roll holder
00061.jsonl.gz-800219,italy,1,Roma Back To Wall Pan Toilet with Soft Close Seat
00047.jsonl.gz-6273939,italy,1,"Milano Newby Wall Hung Toilet, Short Wall Frame and Choice of Flush Plate"
00109.jsonl.gz-9324942,italy,1,"The blue-gray Bardiglio Imperiale marble in the shower is from Italy. The floor is a carrara basket-weave mosaic. The white, subway tile is Daltile. Toilet, carrara marble vanity and Purist fixtures are all Kohler. The Asian ceramic garden stool is from Jayson Home."
00051.jsonl.gz-10979504,italy,1,geberit bidet wc wall hung toilet with bidet aquaclean mera by geberit italia
00034.jsonl.gz-17126823,italy,1,Toilet Villa Sweet Home Colico
00050.jsonl.gz-239871,italy,1,Milano Newby - Round Wall-Hung White Ceramic Toilet - One-Piece Suspended Space Saving WC and Soft Close Seat
00051.jsonl.gz-10615740,italy,1,modern washroom sicilia modern bathroom toilet
00102.jsonl.gz-1523855,italy,1,"Keramische vaas hangend toilet, modern design, Sun Square made in Italy"
00012.jsonl.gz-2636594,italy,1,"Toilet With Built In Bidet In Genova, Italy."
00015.jsonl.gz-4410907,italy,1,"Milano Arch - 500mm WC unit and Back to Wall Toilet, Cistern and Seat"
00101.jsonl.gz-2309447,italy,1,Hotel Alinari: The toilet gets wet when you have a shower.
00108.jsonl.gz-5215821,italy,1,Milano Legend - Traditional Toilet Pan with Cistern and Warm Oak Seat
00065.jsonl.gz-9254744,italy,1,"Exciting geometric stepped design from LASA Idea's Syn bathroom furniture range. White Matt washbasin paired with Olmo Rock furniture. Bathroom Cost, Bathroom Storage, Small Bathroom, Bathroom Designs, Italian Bathroom, Wall Hung Toilet, Concrete Bathroom, Wall Mounted Vanity, Vanity Units"
00027.jsonl.gz-16468540,italy,1,Ariel Bath Milano Contemporary Elongated 1 Piece Toilet with Dual Flush
00054.jsonl.gz-3396086,italy,1,Ariel Bath Milano Contemporary Elongated One Piece Toilet with Dual Flush in White
