id,text,url,llama,svm_1,id_new,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
4,Euphrates River Valley Settlement: The Carchemish Sector in the Third Millennium BC (Levant Supplementary Series),https://m.media-amazon.com/images/I/71UxajsS3gL._AC_UY218_ML3_.jpg,syria,1.0,4,levant,"['levant', 'levanto', 'town of levant', 'lebanon', 'nova levante', 'palestine', 'arab', 'east palestine', 'syrian arab republic', 'beirut']",turkey
1567,red-valley-at-sunset-in-cappadocia-turke,"https://static.wixstatic.com/media/da4d7c_5b366cf1231c404fa489e23846fe31c9~mv2.jpg/v1/fill/w_340,h_227,q_90/da4d7c_5b366cf1231c404fa489e23846fe31c9~mv2.jpg",turkey,1.0,1459,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
2098,"Cappadocia, Turkey: Love Valley",http://media-cdn.tripadvisor.com/media/photo-s/01/41/27/10/love-valley.jpg,turkey,1.0,1950,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
2277,"The prehistoric mysterious vehicle tracks as found in the Phrygian Valley of Turkey, with a modern car for scale.",https://www.ancient-origins.net/sites/default/files/styles/large/public/prehistoric-mysterious-vehicle-tracks.jpg?itok=G0k9l15R,turkey,1.0,2112,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
3272,"GOREME, CAPPADOCIA, TURKEY - OCTOBER 24, 2015: Cappadocia, Turkey.The greatest tourist attraction of Cappadocia, the flight with the hot air balloons over the valley in Goreme",https://static3.bigstockphoto.com/thumbs/7/4/1/large2/147703505.jpg,turkey,1.0,3027,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
5400,"single girl walking toward skyline, with one ATV vehicle parked around in wild valley in Cappadocia, Turkey, surrounded among the rocks, dunes and  hills in Goreme National Park, typical terrain landscape in Cappadocia poster",https://static3.bigstockphoto.com/6/4/1/large2/146425562.jpg,turkey,1.0,5004,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
6454,"Unique Geological Formations In Red Valley, Cappadocia, Turkey",https://static2.bigstockphoto.com/thumbs/8/4/1/large2/148768064.jpg,turkey,1.0,5990,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
8857,Butterfly Valley Campsite,http://www.helensburghcc.org.uk/wp-content/uploads/2015/10/2015-10-10-05.36.00-1024x768.jpg,new zealand,1.0,8233,no,['no'],turkey
8876,"Artvin, Turkey - July 2018: Gorgit highland with old houses and green valley in Blacksea region, Artvin, Turkey",https://image.shutterstock.com/image-photo/artvin-turkey-july-2018-gorgit-260nw-1205327455.jpg,turkey,1.0,8250,artvin,"['artvin', 'artres', 'arvin', 'carvin', 'arti', 'artas', 'arţās', 'liévin', 'artjärvi', 'arthon']",turkey
9838,Butterfly valley deep gorge fethiye turkey Royalty Free Stock Photo,https://thumbs.dreamstime.com/t/butterfly-valley-deep-gorge-fethiye-turkey-high-view-canyon-38943255.jpg,turkey,1.0,9148,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
