,id,text,svm_1,gemini-flash_faiss_country
0,18,"Sensuous by Alyne by Rita Vineris wedding dress lace sleeves flutter fine art wedding photography california station waterfall cascade white bouquet Floral Wedding, Wedding Flowers, Wedding Bun, Tent Wedding, Wedding Attire, Wedding Dresses, Wedding Venues, Bridesmaid Dresses, Bride Photography",1.0,united states
1,22,"A first look is possible, even in Alaska destination elopement weddings. Jordyn reaches out toward Connor, who is looking away and waiting her go-ahead to see her in her wedding dress. The two stand among a field of flowers with dramatic Alaskan mountain peaks and lush foliage in the background.",1.0,united states
2,64,cheap wedding dresses st louis mo tbrbinfo wedding dress With wedding dress shops st louis,1.0,united states
3,70,"Real bride in Ines Di Santo wedding dress from Solutions Bridal in Orlando, Florida",1.0,united states
4,94,"Wedding Photography, Epic Shutter Photography, Smile and Wave. One Epic Shutter at a Time,Avon, Hatteras Island Weddings, North Carolina, Life Size Sand Castles, Life Size Love, Sand Castles, Married On A Sandbar, Hatteras Island Wedding Photographers, Hatteras Wedding Photographers, OBX Weddings, Outer Banks Wedding Photographers, Outer Banks, OBX, Outer Banks Weddings, OBWA, Outer Banks Wedding Photography, Outer Banks Chamber Of Commerce, Bride and Groom, Wedding Dress, Wedding Rings, Flower Girl, Beach Wedding, Cape Hatteras Photographers",1.0,united states
5,171,"Epic Shutter Photography, Outer Banks Photographers, Coquina Beach, Nags Head, North Carolina,Hatteras Island Photographers, OBX Weddings, Outer Banks Wedding Photographers, Weddings, Wedding Ring, Wedding Dress, Bride, Groom, Vow Renewal, Beach Wedding, OBWA",1.0,united states
6,293,Wedding Dress Shop Lucille U0027s Bridal Shop For Wedding Dresses Orange Ct 203 795 0546,1.0,united states
7,395,Get Quotations La Fashion District Wedding Dress Downtown Dresses,1.0,united states
8,502,All Disney Wedding Gallery Disney S Fairy Tale Weddings Fairy Tale Wedding Dress Disney World Wedding Disney Fairy Tale Weddings,1.0,united states
9,524,Tulle Halter Ball Gown Wedding Dress  MB6026 - Chicago Bridal Store Company,1.0,united states
10,536,"Bride and Bridesmaids Wedding Portrait, Bridesmaids in Long Burgundy Mismatched Style Dresses, Bride in High Neck Illusion and Lace Wedding Dress with, Red, Blush Pink, Greenery Organic Floral Bouquets | Tampa Bay Hair and Makeup Artist Michele Renee the Studio",1.0,united states
11,567,A bride's a-line wedding dress hangs above a bed at Lansdowne Resort.,1.0,united states
12,577,"Florida Bride Outdoor Wedding Portrait, Bride in White Satin and Lace Sweetheart Neckline, Cap Sleeve Ballgown Wedding Dress with Bright Pink, Yellow, Ivory and Greenery Floral Bouquet | Tampa Bay Photographer Marc Edwards Photographs",1.0,united states
13,604,"des moines wedding dresses. ti adora style 7606 $1000-1500 shaffer\u0027s in des moines | wedding dress inspiration pinterest couture style, bridal gowns and dresses",1.0,united states
14,702,Fit and Flare Wedding Dress: Flawless Gold & White Wedding at Fox Chapel Golf Club from Michael Will Photography featured on Burgh Brides,1.0,united states
15,730,"Joshua Tree Airbnb Elopement. Browse the blog for elopement inspiration indoor and outdoor for this styled shoot including, wedding dress inspiration, bridal fashion, groom fashion, wedding details and best place to elope | Photography by Michelle Larmand",1.0,united states
16,840,wedding dresses for rent 14 wedding dress rental las vegas wedding idea,1.0,united states
17,853,"Wedding Photography, Epic Shutter Photography, Smile and Wave. One Epic Shutter at a Time,Avon, Hatteras Island Weddings, North Carolina, Life Size Sand Castles, Life Size Love, Sand Castles, Married On A Sandbar, Hatteras Island Wedding Photographers, Hatteras Wedding Photographers, OBX Weddings, Outer Banks Wedding Photographers, Outer Banks, OBX, Outer Banks Weddings, OBWA, Outer Banks Wedding Photography, Outer Banks Chamber Of Commerce, Bride and Groom, Wedding Dress, Wedding Rings, Flower Girl, Beach Wedding, Cape Hatteras Photographers",1.0,united states
18,961,Pink flowers and Bride wearing Charlotte Wedding Dress by Maggie Sottero,1.0,united states
19,982,"Fields at Blackberry Cove Wedding, Asheville Wedding, Hendersonville Wedding, Mountain Wedding, Rustic Lace Wedding Dress photographed by Jenny Tenney",1.0,united states
20,1034,Yolancris  News  Winter Wedding Dresses 2016. Summer Wedding Dresses For Bride. Disney Wedding Dress Up Games. Wedding Guest Dresses Midi Length. Cheap Wedding Dresses Pink And White. Guipure Lace Wedding Dress Oscar De La Renta. Pictures Of Chiffon Wedding Dresses. Backless Wedding Dresses Nashville Tn. Long Sleeve Lace Wedding Dresses 2014,1.0,united states
21,1057,"Wedding Dress for Sale in St. Charles, IL",1.0,united states
22,1120,wedding dress wholesale wholesale wedding dresses for sale 2017 new design brazil style,1.0,united states
23,1135,tent rental st louis wedding decoration rental st louis mo images wedding dress,1.0,united states
24,1178,Fit and Flare modest wedding dress that has a leafy lace and sequins from salt lake city utah bridal shop,1.0,united states
25,20,"Cheap vestido de noiva, Buy Quality de noiva directly from China gowns bridal Suppliers: Sexy White Wedding Dresses 2016 Casamento Robe De Sleeveless V-neck Chiffon Beaded Vintage Gown Bridal Dresses vestido de noiva V Neck Wedding Dress, Wedding Dresses 2014, Wedding Dress Styles, Bridal Dresses, Bridesmaid Dresses, Prom Dresses, Dresses 2016, Greek Style Wedding Dress, Sofia Tolli Wedding Dress",1.0,china
26,54,China Supplier Wedding Dress Ball Gown Backless Lace Wedding Dresses Bride  Sexy Boob Tube Top Wedding Dress Wedding Dresses Short Weddings Dresses  From ...,1.0,china
27,141,VARBOO_ELSA Real Sample V Neck Applique Lace Wedding Dress 2017White Sexy See through Back Wedding Dress Mermaid Robe De Mariage(China),1.0,china
28,183,Ancient Chinese Costume Chinese Style Wedding Dress Tang Dynasty hanfu princess Clothing,1.0,china
29,239,freeshipping 2012 bride wedding elegant sweet princess wedding dress tube top type 2267(China (Mainland)),1.0,china
30,268,Wholesale - Custom-Made 2011 Hot Sell Beach Splendid Strapless Wedding Dress AXW311(China (Mainland)),1.0,china
31,313,Chinese Classical Wedding Dress 2 Sets for Bride and Bridegroom,1.0,china
32,410,Aesthetic romantic dream quality wedding formal dress the bride wedding dress formal dress luxury d112w(China (Mainland)),1.0,china
33,499,Chinese Zhuang Ethnic Minority Wedding Dress and Hat Complete Set for Brides,1.0,china
34,527,Old Shanghai Style Red Wedding Dress Set,1.0,china
35,576,Fashion Children Champagne Wedding Dress With Train Tulle Flower Girl Dresses Up Strapless Formal Prom Party Girls Dress W016(China),1.0,china
36,650,Swarovski Crystal Luxury Modest Wedding Dress 2016 Most Popular Sparkly Bridal Gowns Vintage Custom Made(China (Mainland)),1.0,china
37,652,"Custom made two button grey grey groom dress, best man, groom, wedding dress, gap lapel, men's suit / suit(China)",1.0,china
38,654,Sexy Lace Backless Bride Ball Gown Red Wedding Dress Women Plus Size Bandage Cheap Wedding Dresses Made In China WED90129,1.0,china
39,674,Traditional Chinese Ancient Costume China Wedding Dress Ancient Ming Dynasty Hanfu Princess Clothing,1.0,china
40,701,Custom-made Cheongsam / Qipao / Chinese Wedding Dress,1.0,china
41,766,2013 top sale new designs alibaba wedding dress china,1.0,china
42,924,Clear Wedding Dress Cover Storage Bags Dustproof Large Bridal Gown Garment 160/170/180CM(China),1.0,china
43,974,"Wedding Dress - Suzhou Leader Apparel Co., Ltd.",1.0,china
44,1124,100% SILK Georgette Fabric Pure Silk Fabric 10 momme 114cm Width Wedding Dress Silk Gauz Fabric Free Shipping China Red Color 01,1.0,china
45,1144,Ancient Chinese Costume Chinese Style Wedding Dress Tang Dynasty Clothing,1.0,china
46,1168,China Wholesale Dresses - Fashion Ball Gown Strapless Beading Taffeta Wedding Dress With Sash,1.0,china
47,1170,"2015 New Arrival Girl Wedding Dress Children Party Evening Dresses 3 Colors Kids Cocktail Party Formal Ball Gown Dresses, HC362(China (Mainland))",1.0,china
48,1201,"Cheap dress ball gown, Buy Quality gown evening dress directly from China dress bridal gown Suppliers: Vestidos Direct Selling Sale Natural De Noiva 2016 Custom Made White/ivory Appliques Beading Lace Wedding Dress Bridal Gowns Mon Cheri Wedding Dresses, Popular Wedding Dresses, V Neck Wedding Dress, 2016 Wedding Dresses, Formal Dresses For Weddings, Bridal Dresses, Wedding Gowns, Ivory Wedding, Trendy Wedding",1.0,china
49,1245,New arrival 15 items = 5 Wedding Dress Princess Gown +5Pairs Shoes + 5 accessory Clothes For Barbie Doll good gift for baby(China),1.0,china
50,40,Tinkerbell-wedding-dress-temperly-london-romantic-ethereal-sheath-style.full,1.0,united kingdom
51,131,"Monique Lhuillier wedding dress, Sudeley Castle wedding, Jay Rowden Wedding Photography",1.0,united kingdom
52,157,"Princess Eugenie Photos - Princess Eugenie arrives for her wedding to Jack Brooksbank at St George's Chapel in Windsor Castle on October 2018 in Windsor, England. - Princess Eugenie Of York Marries Mr. Royal Wedding Gowns, Wedding Tiaras, Royal Weddings, Princess Wedding, Diana Wedding Dress, Kate Middleton Wedding Dress, Meghan Markle Wedding Dress, Princess Eugenie Jack Brooksbank, Princess Beatrice",1.0,united kingdom
53,164,wedding dress shops london tips in buying from new year wedding dress sales,1.0,united kingdom
54,196,Sarah soft cowl neck and empire line bias cut satin wedding dress by Halfpenny London,1.0,united kingdom
55,217,where can i sell my wedding dress locally second wedding dresses the uk s 1 marketplace to buy or,1.0,united kingdom
56,264,"Sparkle Shoes with Classic Wedding Dress, Micro Surrey Wedding",1.0,united kingdom
57,273,Princess Beatrice got married to Edoardo Mapelli Mazzi in a surprise ceremony at Windsor Castle. Queen wedding dress,1.0,united kingdom
58,282,Crimble hall wedding dress,1.0,united kingdom
59,294,Emma Case East London vintage wedding with long sleeve velvet wedding dress,1.0,united kingdom
60,300,"Catherine Middleton arrives at Westminster Abbey to marry Prince William on April 2011 in London, England. Pippa Middleton Wedding, Princess Kate Middleton, Kate Middleton Style, Prince William Family, Prince William And Catherine, Royal Brides, Royal Weddings, Kate Wedding Dress, Royal Wedding 2011",1.0,united kingdom
61,356,Welshot Model posing in a Wedding Dress on a Trash The Dress Photo-Shoot in North Wales where Welshot Imaging Photographic Academy delegates were learning about photographic lighting and shooting techniques.,1.0,united kingdom
62,377,"The fantastic embroidered backless Tamy gown is a spectacle of handmade details. Find this gorgeous wedding dress in our stores in London, United Kingdom and Santiago de Chile. Bridal Stores, Gorgeous Wedding Dress, Bridal Wedding Dresses, I Dress, Marie, Backless, Gowns, Formal Dresses, London United",1.0,united kingdom
63,412,Back view of the charlotte silk crepe corset wedding dress with full circle skirt by Halfpenny London,1.0,united kingdom
64,451,"Claire, owner of Love in Lace wedding dress shop in Kent, assisting a bride-to-be at her wedding dress fitting.",1.0,united kingdom
65,516,Royal Wedding: Meghan Markle's wedding dress revealed,1.0,united kingdom
66,699,"Elizabeth Filmore wedding dress, Shoreditch wedding, East London wedding, Emma Case alternative wedding photography",1.0,united kingdom
67,713,"Bride in white wedding dress and groom in formal morning suit covered in confetti and holding glasses of champage, laughing after their wedding ceremony in luxury hotel by Tanya Jones Perfect Promises Sussex Celebrant and UK Celebrant",1.0,united kingdom
68,735,Enzoani Ivanka Back view - 2014 collection wedding dress available at the Harrogate Wedding Lounge,1.0,united kingdom
